"topic_id","raw_file","clean_fle","title","url"
"1","articles/t1/raw_567.txt","articles/t1/clean_567.txt","Video game content rating system","https://en.wikipedia.org/wiki/Video_game_content_rating_system"
"1","articles/t1/raw_523.txt","articles/t1/clean_523.txt","Grand Theft Auto (series)","https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series)"
"1","articles/t1/raw_524.txt","articles/t1/clean_524.txt","Grand Theft Childhood","https://en.wikipedia.org/wiki/Grand_Theft_Childhood"
"1","articles/t1/raw_543.txt","articles/t1/clean_543.txt","Sex and nudity in video games","https://en.wikipedia.org/wiki/Sex_and_nudity_in_video_games"
"1","articles/t1/raw_542.txt","articles/t1/clean_542.txt","School violence","https://en.wikipedia.org/wiki/School_violence"
"1","articles/t1/raw_563.txt","articles/t1/clean_563.txt","Social interaction in MMORPGs","https://en.wikipedia.org/wiki/Social_interaction_in_MMORPGs"
"1","articles/t1/raw_541.txt","articles/t1/clean_541.txt","List of controversial video games","https://en.wikipedia.org/wiki/List_of_controversial_video_games"
"1","articles/t1/raw_1.txt","articles/t1/clean_1.txt","Video game controversies","https://en.wikipedia.org/wiki/Video_game_controversies"
"1","articles/t1/raw_503.txt","articles/t1/clean_503.txt","Nonviolent video game","https://en.wikipedia.org/wiki/Nonviolent_video_game"
"1","articles/t1/raw_508.txt","articles/t1/clean_508.txt","Media influence","https://en.wikipedia.org/wiki/Media_influence"
"1","articles/t1/raw_566.txt","articles/t1/clean_566.txt","Video game addiction","https://en.wikipedia.org/wiki/Video_game_addiction"
"1","articles/t1/raw_573.txt","articles/t1/clean_573.txt","Mortal Kombat (video game)","https://en.wikipedia.org/wiki/Mortal_Kombat_(video_game)"
"1","articles/t1/raw_507.txt","articles/t1/clean_507.txt","Brown v. Entertainment Merchants Association","https://en.wikipedia.org/wiki/Brown_v._Entertainment_Merchants_Association"
"1","articles/t1/raw_520.txt","articles/t1/clean_520.txt","California Assembly Bills 1792 & 1793","https://en.wikipedia.org/wiki/California_Assembly_Bills_1792_&_1793"
"1","articles/t1/raw_521.txt","articles/t1/clean_521.txt","Common Sense Media","https://en.wikipedia.org/wiki/Common_Sense_Media"
"1","articles/t1/raw_526.txt","articles/t1/clean_526.txt","History of video games","https://en.wikipedia.org/wiki/History_of_video_games"
"1","articles/t1/raw_506.txt","articles/t1/clean_506.txt","Gender representation in video games","https://en.wikipedia.org/wiki/Gender_representation_in_video_games"
"1","articles/t1/raw_562.txt","articles/t1/clean_562.txt","Social interaction and first-person shooters","https://en.wikipedia.org/wiki/Social_interaction_and_first-person_shooters"
"1","articles/t1/raw_509.txt","articles/t1/clean_509.txt","Multiplayer video game","https://en.wikipedia.org/wiki/Multiplayer_video_game"
"1","articles/t1/raw_528.txt","articles/t1/clean_528.txt","Role-playing video game","https://en.wikipedia.org/wiki/Role-playing_video_game"
"1","articles/t1/raw_525.txt","articles/t1/clean_525.txt","Graphic violence","https://en.wikipedia.org/wiki/Graphic_violence"
"1","articles/t1/raw_569.txt","articles/t1/clean_569.txt","Video game industry","https://en.wikipedia.org/wiki/Video_game_industry"
"1","articles/t1/raw_522.txt","articles/t1/clean_522.txt","Console game","https://en.wikipedia.org/wiki/Console_game"
"1","articles/t1/raw_504.txt","articles/t1/clean_504.txt","Media violence research","https://en.wikipedia.org/wiki/Media_violence_research"
